id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p500,Assvaldsvatnet,Vestland,lake,61.15514,7.74064,False,,,,,,False,0,5,0,False,,,,,,
p501,Kroktjønna,Trøndelag,lake,62.89371,9.74965,False,,,,,,False,0,5,0,False,,,,,,
p502,Øvre Snelletjern,Innlandet,lake,60.65066,9.47246,False,,,,,,False,0,5,0,False,,,,,,
p503,Stormyrtjønnet,Innlandet,lake,61.65969,10.11262,False,,,,,,False,0,5,0,False,,,,,,
p504,Torvikvatnet,Møre og Romsdal,lake,62.93,7.85371,False,,,,,,False,0,5,0,False,,,,,,
p505,Ovadalsvatnet,Trøndelag,lake,63.62894,8.82818,False,,,,,,False,0,5,0,False,,,,,,
p506,Midtvatnet,Møre og Romsdal,lake,62.91079,7.8193,False,,,,,,False,0,5,0,False,,,,,,
p507,Litltjønna,Trøndelag,lake,63.25203,9.94166,False,,,,,,False,0,5,0,False,,,,,,
p508,Litløyvatnet,Trøndelag,lake,63.16501,8.93475,False,,,,,,False,0,5,0,False,,,,,,
p509,Hatlatjørna,Møre og Romsdal,lake,62.82849,7.76467,False,,,,,,False,0,5,0,False,,,,,,
p510,Ralletjern,Buskerud,lake,60.74653,8.96847,False,,,,,,False,0,5,0,False,,,,,,
p511,Orvillingen,Innlandet,lake,61.75162,9.73409,False,,,,,,False,0,5,0,False,,,,,,
p512,Vinddalsvatnet,Trøndelag,lake,63.26112,9.07446,False,,,,,,False,0,5,0,False,,,,,,
p513,Lona,Vestland,lake,61.57221,7.94179,False,,,,,,False,0,5,0,False,,,,,,
p514,Embretsgardtjerne,Buskerud,lake,60.80955,8.82848,False,,,,,,False,0,5,0,False,,,,,,
p515,Gilsvatnet,Vestland,lake,61.15239,7.05719,False,,,,,,False,0,5,0,False,,,,,,
p516,Heilstuguvatnet,Innlandet,lake,61.9843,7.59897,False,,,,,,False,0,5,0,False,,,,,,
p517,Håkontjern,Innlandet,lake,60.98718,9.35242,False,,,,,,False,0,5,0,False,,,,,,
p518,Nølegmanntjernet,Buskerud,lake,60.51092,8.97428,False,,,,,,False,0,5,0,False,,,,,,
p519,Fresketjønnet,Innlandet,lake,61.65706,10.07584,False,,,,,,False,0,5,0,False,,,,,,
p520,Heimdalsvatnet,Innlandet,lake,61.99919,7.70669,False,,,,,,False,0,5,0,False,,,,,,
p521,Simla,Vestland,lake,61.55321,7.9483,False,,,,,,False,0,5,0,False,,,,,,
